part_number,op,machine,feature,operation_type,seq_index,run_min_pc_est,run_min_pc_act,nc_est_min,nc_calib_k,n_tools,notes
0022-49255,09,CNCR STRAT,cut sheet to blank,router_cut,1,2.0,0.20,11.3,,0,NC est 11.3 min total for router cut; act 0.20 min/pc (72pc batch efficient)
0022-49255,10,CNCV FAN V,fly surface + profile outline,face_mill+profile,2,3.50,3.80,2.40,1.58,4,6PC program: NC 14.4min/6=2.40min/pc; act 3.80→k=1.58; machine: vacuum fixture
0022-49255,20,CNCV FAN M,back-side fly surface,face_mill,3,5.0,5.0,1.30,,2,NC est 1.3min (face only) vs 5.0 actual; k≈3.85 not reliable (short program); vise
0022-49255,30,CNCV FAN M,drill + counterbore,drill+circle_mill,4,3.0,3.0,1.0,,4,NC est 1.0min vs 3.0 actual; k≈3.0; includes fixtured drill thru+CB; vise
0022-49255,810,DEBUR,deburr,manual,5,2.0,2.0,,,0,manual deburr
0022-63955,10,LYNX 21 LYSB,full turning + sub-spindle mill,turn+mill (lathe-mill),1,22.0,22.0,,,,15,single OP covers all features; setup sheet states 20min cycle vs 22min actual; sub-spindle flip included
0022-75931,10,CNCL TAK,OD turn + bore + part-off,turn+bore+part,1,3.50,3.50,,,,~3,no setup sheet or NC; simple ring spacer; est matches actual exactly
1157-776-01,800,SAW,cut Ø160 rod billet,saw,0,7.99,8.0,,,0,bandsaw cut; 8 min/pc at qty 25
1157-776-01,10,CNCL NAK,OD rough turn + face,turn_rough,1,6.0,6.0,,,,~5,lathe OP; no setup sheet available; est=actual
1157-776-01,20,CNCL NAK,OD finish + ID features,turn_finish+bore,2,15.0,15.0,,,,~5,lathe OP; no setup sheet; est=actual; setup overrun 0.5→1.0hr
1157-776-01,30,CNCL NAK,back-side lathe features,turn+groove,3,11.0,11.0,,,,~4,lathe OP; no setup sheet; est=actual (labor$ act = 0 → suspect data; burden confirms)
1157-776-01,40,CNCV MAK,pocket+slot+holes+thread mill+side cut+chamfer,pocket+profile+drill+thread,4,30.0,30.0,19.73,1.52,5,setup sheet OP40 total 19:44min vs actual 30min/pc → k≈1.52; 5 distinct tools
1157-776-01,50,CNCV MAK,engraving P/N + Rev,engrave,5,2.0,2.0,1.32,,1,setup sheet 1:19 vs actual 2.0min/pc; k≈1.52 consistent; OP50 setup massively overran (0.3→3.3hr)
1157-776-01,60,CNCV MAK,drill M3 holes + M3 thread mill + chamfer,drill+thread+chamfer,6,4.0,4.0,2.83,,3,setup sheet 2:50 vs actual 4.0min/pc; k≈1.41
