part_number,op,machine,feature,operation_type,seq_index,run_min_pc_est,run_min_pc_act,nc_est_min,nc_calib_k,n_tools,notes
0020-46358,10,CNCR EXACT 1616/STRATOS,fly surface + dovetail + slot + outline,cnc_milling,1,4.00,4.00,4.11,1.02,4,"NC OP10 router 28.8 min total / 7pc per run (approx) = 4.11 min/pc"
0020-46358,20,CNCV FAN M,step pocket + finish profile + NPT helix pre,cnc_milling,2,11.00,11.52,36.85,,8,"NC OP20 2PCS file 73.7 min / 2 = 36.85 min — this is combined OP20+OP40 equivalent; split between 20/30/40 in job cost"
0020-46358,25,CNCV FAN M,short setup/facing op,cnc_milling,3,2.00,1.96,,,3,"Very short op (RM26 labor actual); function uncertain — likely facing/prep"
0020-46358,30,CNCV FAN M,NPT thread mill + profiles,cnc_milling,4,10.00,12.86,,,8,"NC file 3449 OP30 = 5.5 min only (partial); actual 12.86 from Job Cost"
0020-46358,40,CNCV FAN M,equal scallop surface + final profile + chamfers,cnc_milling,5,35.00,35.02,36.85,1.05,10,"NC OP20 2PCS 73.7/2=36.85 vs actual 35.02 → k=1.05 (CNCV FAN M)"
0023-12637,10,NAKAMURA-TOME SC-300,OD+ID turning + T-drill + parting,cnc_lathe,1,14.00,13.99,,,6,"MAC G95 not parsed; setup sheet cycle 6:50 min (understates by 2x)"
0023-12637,20,TAKISAWA NEX-108Y,OD turn + 7x radial slots (live milling),cnc_lathe_milling,2,6.00,6.00,,,3,"MAC G95 not parsed; setup sheet states 8:16 min"
0041-14421,10,CNCR EXACT (Router),profile rough+finish + chamfer + drill + 8-32UNC thread + cut (9.525mm sheet),cnc_milling,1,5.00,5.00,5.08,0.99,7,"NC 91.5 min / 18 pc = 5.08 min/pc; k=0.99 CNCR EXACT"
0041-14421,20,CNCR EXACT (Router),profile rough+finish + slot + chamfer + cut (6.35mm sheet),cnc_milling,2,5.00,5.00,2.13,,4,"NC 38.4/18=2.13 min — NC doesn't capture all ops; actual from JC"
0041-14421,810,WELD,weld two sheet pieces,welding,3,20.00,21.77,,,,"Weld dominates job cost; RM927.26 burden / 18 = RM51/pc"
1241-714-01,10,DOOSAN 2600Y (LYNX 26Y),OD rough+finish + H-drill Ø12/4/3.15 + engrave + parting,cnc_lathe,1,18.00,18.00,,,8,"MAC G95 not parsed; setup sheet 10:20 min (understates)"
1241-714-01,20,CNCV MAK PS95,Ø15 pocket + Ø6H9 reamer + face thickness,cnc_milling,2,8.01,8.01,8.15,0.98,6,"NC 16.3 min / 2 (2-up fixture) = 8.15 min; k=0.98 CNCV MAK"
15-137820-00,10,EXXACT PLUS (CNCR EXACT),facing + profile + chamfer + c-bore + drill + cut (20pc batch),cnc_milling,1,13.30,13.30,12.52,1.06,5,"NC 250.4 min / 20 pc = 12.52 min/pc; k=1.06 CNCR EXACT"
15-137820-00,20,EXXACT 1616 (CNCR EXACT),facing back + step 3.3mm + chamfer,cnc_milling,2,10.00,10.00,5.60,,3,"NC OP20 = 5.6 min partial (only 5 ops found); actual 10 min from JC"
15-395585-00,10,TAKISAWA 108 (CNCL TAK),OD face+rough+finish + ID bore + parting,cnc_lathe,1,3.00,3.00,,,7,"MAC G95 not parsed; setup sheet 1:09 min (artifact — understates 2.6x)"
