part_number,op,machine,feature,operation_type,seq_index,run_min_pc_est,run_min_pc_act,nc_est_min,nc_calib_k,n_tools,notes
839-A05168-102 ITEM1,10,CNCV MAK,pipe length + Ø15.24 thru-holes,cnc_milling,1,,7.98,6.0,1.33,2,NC k=1.33 (CNCV MAK PP); 2 tools (rough+finish EM Ø10); Item 1 pipe 32mm OD GF stock
839-A05168-102 ITEM5,10,CNCR EXACT,plate outline + 3x Ø15.24 + ball-nose radius,cnc_milling,1,,9.71,7.51,1.29,3,NC 67.6 min for 9-pc nested run ÷9=7.51 min/pc → k=1.29; 3 tools (rough EM+finish EM+ball-nose)
839-A05168-102 ITEM6,10,CNCR EXACT,plate outline + Ø32.26 thru,cnc_milling,1,,1.73,0.54,3.20,3,NC 4.9 min for 9-pc nested ÷9=0.54 min/pc → k=3.2 anomalous (actual includes deburr/inspect); 3 tools
839-A05168-102 ITEM7,10,DNM 5700 4X,face+profile+bore+pockets+R6+drills+chamfer,cnc_milling,1,,17.33,15.8,1.10,9,NC k=1.10 (DNM 5700 4X PP OP10); 9 distinct tool operations
839-A05168-102 ITEM7,20,DNM 5700 4X,back-side face+pocket roughing+R6,cnc_milling,2,,9.00,9.3,0.97,3,NC k=0.97 (DNM 5700 4X PP OP20); 3 tools
839-A05168-102 ITEM8,10,CNCL TAK (NEX-108),OD turn + face OP10,cnc_lathe,1,,3.46,,, 3,NC not usable (.MAC G95 feedrate=0 in analyzer); actual from job cost
839-A05168-102 ITEM8,20,CNCL TAK (NEX-108),OD turn OP20,cnc_lathe,2,,1.48,,,1,NC not usable (.MAC); 2 ops 0.32 min/pc actual
839-A05168-102 ITEM9,10,CNCL TAK (NEX-108),OD face + rough turn OP10,cnc_lathe,1,,7.85,,,2,NC not usable (.MAC); 1.70 hr/13 pc = 7.85 min/pc act
839-A05168-102 ITEM9,20,CNCL TAK (NEX-108),face + ID bore OP20,cnc_lathe,2,,1.02,,,2,NC not usable (.MAC); 0.22 hr/13 pc = 1.02 min/pc act
839-A05168-102 ASSY,840,GF FUS,GF pipe fusion (main runs),gf_fusion,1,,70.80,,,, No NC; setup sheet not found for fusion ops; job cost only truth
839-A05168-102 ASSY,830,SOCKET FUS,socket fuse GF fittings,socket_fusion,1,,36.75,,,, No NC
839-A05168-102 ASSY,820,WELD,butt-weld pipe joints,welding,1,,30.00,,,, No NC
839-A07950-001,10,DOOSAN DNM 6700,face top + 6x Ø6.4 drill + Ø8.6 cbore,cnc_milling,1,,22.00,53.4,0.41,3,Setup sheet states 22 min cycle; NC est 53.4 min (over-estimate: full-face raster with Ø6 EM); k=0.41 not generalizable (geometry-specific); no job cost to validate actual
