part_number,op,machine,feature,operation_type,seq_index,run_min_pc_est,run_min_pc_act,nc_est_min,nc_calib_k,n_tools,notes
713-A42978-022,10,CNCR EXACT,cut PP sheet to 820x704x12.7mm,profile_milling,1,9.0,9.0,,,2,E=A confirmed (zero burden variance); NC not available
713-A42978-022,20,CNC HAAS L,chip-breaker profile + chamfer + M5x0.8 threadmill,mixed_milling,2,16.0,16.0,,,5,E=A confirmed; vacuum bed fixture; uses chip-breaker EM for PP
713-A42978-022,30,CNC HAAS L,full pockets / Ø410 bore / mounting bosses / helicoil bore,complex_milling,3,150.0,150.0,,,~15,E=A confirmed; dominates job; NC not available; PLEASE USE COOLANT noted
839-219206-002,10,CNCV FAN M,fly thickness + step depth + dovetail clamp,face_and_profile,1,9.0,9.0,,,5,E=A; dovetail slot for fixture clamping
839-219206-002,20,CNC 5-AXIS,rough+finish outline + 5-axis faces + NPT ports + socket fuse bore,5axis_complex,2,25.0,25.0,,,~12,E=A; 5-axis; setup 5× over estimate (1.5 hr act vs 0.30 est)
839-219206-002,30,CNCV FAN M,remove raw material back + finish step + engrave,face_and_profile,3,9.96,9.96,,,~5,E=A; work week macro engrave at OP30
839-232763-002,09,CNCV MAK,facing + dovetail datum + dovetail pin (ITEM1),facing_and_dovetail,1,2.0,3.0,1.3,2.3,3,NC k=2.3 high — likely approach/dwell overhead on short ops; ITEM1 sub-job
839-232763-002,10,DVF 5000,rough+fin outline + registration + Ø0.44+0.206 bores + cut material (ITEM1),profile_milling,2,38.0,38.0,36.2,1.05,~8,NC k=1.05 excellent; E=A confirmed; ITEM1 sub-job; DVF5000=5-axis at RM274/hr
839-232763-002,20,CNCV MAK,facing back + R1.5 fillet (ITEM1),facing_and_radius,3,4.0,4.0,2.1,1.90,2,NC k=1.90 high — R1.5 cutter slow arcing; ITEM1 sub-job
839-232763-002,10b,CNCL TAK,OD rough+finish + step (ITEM2),turning,1,10.0,10.0,,,~3,NC (O4185 MAC) unusable — CSS G96 mode no mm/rev feed; ITEM2 sub-job
839-232763-002,20b,CNCL TAK,parting + groove (ITEM2),turning_parting,2,2.0,2.0,,,~2,NC (O4186 MAC) unusable; ITEM2 sub-job
839-232763-002,09b,CNCR EXACT,rough+fin outline + registration + bores + cut material (ITEM3),profile_milling,1,4.2,5.4,36.2,1.5,~7,NC est 36.2 min for 10-pc fixture → 3.6/pc; k≈1.5; ITEM3 sub-job
839-A29596-001,10,CNCV FAN M,face flat + width cut + dovetail + slot,face_dovetail_slot,1,2.0,2.0,1.9,1.05,4,NC 1657: k=1.05 excellent match; simple 4-op
839-A29596-001,20,CNC 5-AXIS,rough+fin block + 5-axis angles + collar + holes + NPT thread-mill,5axis_complex,2,32.0,32.0,21.75,1.47,~22,NC 1658 is 2PC: 43.5/2=21.75 vs 32 actual; k=1.47; 57 NC operations
839-A29596-001,30,CNCV FAN M,roughing back + fly surface + drill + spot + chamfer,face_drill_chamfer,3,4.0,4.0,3.6,1.11,5,NC 1659: k=1.11; 7 NC operations
713-A51655-001,10,CNCR EXACT,rough OD + finish OD + re-machine R0.10 + cut material (20-pc strip),profile_milling_strip,1,1.40,1.40,23.0 (strip),1.22,4,NC est 23 min for 20-pc strip → 1.15/pc; k=1.22 (CNCR EXACT lathe-like)
713-A51655-001,20,CNCV FAN M,spot + drill Ø5.23 + finish bore Ø0.206 (2-pc fixture G54/G55),drill_bore,2,2.0,1.95,1.1,1.77,5,NC 5166: est 1.1 min vs 1.95 actual; k=1.77 (CNCV FAN M VMC); 2-pc fixture
